address,학원,초등학교,중학교,고등학교,유치원
경기도 가평군 가평읍 대곡리,16개,0개,0개,0개,0개
경기도 가평군 가평읍 읍내리,17개,1개,0개,0개,1개
경기도 가평군 상면 덕현리,2개,0개,0개,0개,0개
경기도 가평군 상면 연하리,1개,1개,0개,0개,1개
경기도 가평군 설악면 송산리,1개,0개,0개,0개,0개
경기도 가평군 설악면 신천리,11개,1개,1개,1개,1개
경기도 가평군 조종면 현리,9개,1개,1개,1개,1개
경기도 가평군 청평면 상천리,2개,1개,0개,0개,1개
경기도 가평군 청평면 청평리,15개,1개,1개,1개,1개
경기도 고양시 덕양구 고양동,57개,2개,1개,1개,4개
경기도 고양시 덕양구 관산동,36개,1개,1개,1개,3개
경기도 고양시 덕양구 내유동,11개,1개,0개,0개,1개
경기도 고양시 덕양구 대장동,1개,1개,0개,0개,1개
경기도 고양시 덕양구 도내동,77개,2개,1개,1개,3개
경기도 고양시 덕양구 동산동,55개,2개,0개,1개,3개
경기도 고양시 덕양구 삼송동,33개,0개,0개,0개,0개
경기도 고양시 덕양구 성사동,80개,2개,1개,1개,5개
경기도 고양시 덕양구 신원동,74개,1개,1개,1개,2개
경기도 고양시 덕양구 원흥동,28개,2개,0개,0개,4개
경기도 고양시 덕양구 주교동,19개,1개,1개,0개,2개
경기도 고양시 덕양구 지축동,4개,1개,1개,0개,3개
경기도 고양시 덕양구 토당동,45개,2개,1개,1개,5개
경기도 고양시 덕양구 행신동,262개,10개,5개,4개,18개
경기도 고양시 덕양구 향동동,46개,2개,1개,1개,3개
경기도 고양시 덕양구 화전동,3개,1개,1개,0개,1개
경기도 고양시 덕양구 화정동,338개,6개,4개,2개,9개
경기도 고양시 일산동구 마두동,386개,4개,3개,2개,7개
경기도 고양시 일산동구 백석동,71개,3개,1개,2개,7개
경기도 고양시 일산동구 사리현동,4개,1개,0개,0개,1개
경기도 고양시 일산동구 설문동,1개,0개,0개,0개,0개
경기도 고양시 일산동구 성석동,2개,0개,0개,0개,0개
경기도 고양시 일산동구 식사동,105개,3개,1개,2개,5개
경기도 고양시 일산동구 장항동,113개,2개,0개,0개,2개
경기도 고양시 일산동구 정발산동,75개,2개,1개,1개,4개
경기도 고양시 일산동구 중산동,122개,5개,2개,2개,7개
경기도 고양시 일산동구 지영동,1개,0개,0개,0개,0개
경기도 고양시 일산동구 풍동,113개,3개,1개,2개,5개
경기도 고양시 일산서구 가좌동,41개,2개,1개,1개,3개
경기도 고양시 일산서구 대화동,123개,5개,3개,3개,7개
경기도 고양시 일산서구 덕이동,55개,3개,1개,3개,5개
경기도 고양시 일산서구 일산동,460개,4개,3개,2개,11개
경기도 고양시 일산서구 주엽동,300개,6개,3개,2개,9개
경기도 고양시 일산서구 탄현동,114개,4개,2개,1개,9개
경기도 과천시 갈현동,1개,0개,0개,0개,0개
경기도 과천시 과천동,2개,0개,0개,0개,0개
경기도 과천시 별양동,81개,2개,1개,1개,2개
