address,공원,어린이공원,시장
경기도 가평군 가평읍 달전리,1,0,0
경기도 가평군 가평읍 대곡리,3,0,0
경기도 가평군 가평읍 읍내리,2,0,0
경기도 가평군 북면 목동리,1,0,0
경기도 가평군 상면 연하리,1,0,0
경기도 가평군 설악면 선촌리,2,0,0
경기도 가평군 조종면 현리,0,1,0
경기도 가평군 청평면 상천리,1,0,0
경기도 고양시 덕양구 고양동,4,3,0
경기도 고양시 덕양구 관산동,1,0,0
경기도 고양시 덕양구 내곡동,3,1,0
경기도 고양시 덕양구 내유동,1,0,0
경기도 고양시 덕양구 대자동,15,1,0
경기도 고양시 덕양구 대장동,5,0,0
경기도 고양시 덕양구 덕은동,9,4,0
경기도 고양시 덕양구 도내동,6,1,0
경기도 고양시 덕양구 동산동,1,4,0
경기도 고양시 덕양구 벽제동,1,0,0
경기도 고양시 덕양구 삼송동,5,2,0
경기도 고양시 덕양구 성사동,5,6,0
경기도 고양시 덕양구 신원동,4,2,0
경기도 고양시 덕양구 오금동,4,0,0
경기도 고양시 덕양구 용두동,1,2,0
경기도 고양시 덕양구 원흥동,3,2,0
경기도 고양시 덕양구 주교동,5,3,0
경기도 고양시 덕양구 지축동,8,1,0
경기도 고양시 덕양구 토당동,1,6,0
경기도 고양시 덕양구 행신동,10,24,0
경기도 고양시 덕양구 행주외동,1,0,0
경기도 고양시 덕양구 향동동,5,2,0
경기도 고양시 덕양구 화전동,3,3,0
경기도 고양시 덕양구 화정동,12,11,0
경기도 고양시 일산동구 마두동,3,6,0
경기도 고양시 일산동구 백석동,4,7,0
경기도 고양시 일산동구 식사동,5,6,0
경기도 고양시 일산동구 장항동,5,1,0
경기도 고양시 일산동구 정발산동,0,7,0
경기도 고양시 일산동구 중산동,8,14,0
경기도 고양시 일산동구 풍동,3,8,0
경기도 고양시 일산서구 가좌동,1,0,0
경기도 고양시 일산서구 대화동,14,8,0
경기도 고양시 일산서구 덕이동,3,3,0
경기도 고양시 일산서구 일산동,2,3,1
경기도 고양시 일산서구 주엽동,3,8,0
경기도 고양시 일산서구 탄현동,2,9,0
경기도 과천시 갈현동,1,0,0
경기도 과천시 과천동,4,2,0
경기도 과천시 관문동,2,0,0
경기도 과천시 문원동,1,2,0
경기도 과천시 별양동,2,0,0
