address,헬스장,수영장,체육관
경기도 가평군 가평읍 대곡리,1,1,1
경기도 가평군 상면 덕현리,0,1,0
경기도 가평군 설악면 방일리,0,1,0
경기도 가평군 조종면 현리,0,0,1
경기도 가평군 청평면 청평리,1,0,0
경기도 고양시 덕양구 관산동,1,0,0
경기도 고양시 덕양구 대자동,1,1,0
경기도 고양시 덕양구 도내동,1,1,0
경기도 고양시 덕양구 동산동,1,1,0
경기도 고양시 덕양구 벽제동,0,1,0
경기도 고양시 덕양구 성사동,1,2,1
경기도 고양시 덕양구 신원동,4,1,0
경기도 고양시 덕양구 원당동,0,2,0
경기도 고양시 덕양구 원흥동,0,2,0
경기도 고양시 덕양구 주교동,1,0,0
경기도 고양시 덕양구 지축동,0,1,0
경기도 고양시 덕양구 토당동,3,0,0
경기도 고양시 덕양구 행신동,9,2,1
경기도 고양시 덕양구 화정동,10,2,0
경기도 고양시 일산동구 마두동,3,2,0
경기도 고양시 일산동구 문봉동,1,0,0
경기도 고양시 일산동구 백석동,3,0,1
경기도 고양시 일산동구 식사동,1,2,0
경기도 고양시 일산동구 장항동,12,1,0
경기도 고양시 일산동구 정발산동,4,0,0
경기도 고양시 일산동구 중산동,4,1,0
경기도 고양시 일산동구 풍동,2,0,0
경기도 고양시 일산서구 가좌동,1,0,0
경기도 고양시 일산서구 대화동,5,0,0
경기도 고양시 일산서구 덕이동,1,1,0
경기도 고양시 일산서구 일산동,3,1,0
경기도 고양시 일산서구 주엽동,3,1,0
경기도 고양시 일산서구 탄현동,5,1,0
경기도 과천시 막계동,0,2,0
경기도 과천시 별양동,1,0,0
경기도 과천시 부림동,1,0,0
경기도 과천시 중앙동,2,0,0
경기도 광명시 광명동,2,1,0
경기도 광명시 소하동,4,1,0
경기도 광명시 일직동,0,1,0
경기도 광명시 철산동,5,1,0
경기도 광명시 하안동,2,2,0
경기도 광주시 경안동,6,0,0
경기도 광주시 곤지암읍 부항리,1,0,0
경기도 광주시 남종면 삼성리,0,1,0
경기도 광주시 도척면 노곡리,1,0,0
경기도 광주시 도척면 도웅리,0,1,0
경기도 광주시 목현동,1,0,0
경기도 광주시 송정동,0,1,0
경기도 광주시 오포읍 능평리,4,0,0
경기도 광주시 오포읍 문형리,1,0,0
경기도 광주시 오포읍 신현리,3,0,0
경기도 광주시 오포읍 양벌리,5,0,3
경기도 광주시 장지동,1,1,0
경기도 광주시 초월읍 늑현리,1,0,0
경기도 광주시 초월읍 도평리,2,0,0
경기도 광주시 초월읍 산이리,1,0,0
경기도 광주시 초월읍 신월리,1,0,0
경기도 광주시 초월읍 지월리,0,1,0
경기도 광주시 탄벌동,2,0,0
경기도 광주시 태전동,1,1,0
경기도 광주시 퇴촌면 광동리,1,0,0
경기도 구리시 갈매동,1,0,0
경기도 구리시 교문동,3,0,0
경기도 구리시 수택동,3,1,0
경기도 구리시 인창동,4,1,1
경기도 구리시 토평동,3,0,0
경기도 군포시 금정동,0,2,3
경기도 군포시 당동,3,2,0
경기도 군포시 부곡동,0,2,3
경기도 군포시 산본동,5,4,2
경기도 김포시 감정동,1,0,0
경기도 김포시 걸포동,2,0,0
경기도 김포시 고촌읍 신곡리,2,0,0
경기도 김포시 구래동,1,2,0
경기도 김포시 마산동,1,0,0
경기도 김포시 북변동,2,0,0
경기도 김포시 사우동,1,0,0
경기도 김포시 운양동,4,2,0
경기도 김포시 장기동,8,2,0
경기도 김포시 통진읍 마송리,1,0,0
경기도 김포시 통진읍 수참리,1,0,0
경기도 김포시 풍무동,3,1,0
경기도 김포시 하성면 원산리,1,0,0
경기도 남양주시 금곡동,2,0,0
경기도 남양주시 다산동,2,2,0
경기도 남양주시 별내동,4,1,0
