,법정동명,공시가격
0,서울특별시 강남구 개포동,611183620.5365537
1,서울특별시 강남구 논현동,373854057.0779593
2,서울특별시 강남구 대치동,851651235.4300929
3,서울특별시 강남구 도곡동,951031841.8836067
4,서울특별시 강남구 삼성동,712108183.1668668
5,서울특별시 강남구 세곡동,509502577.53048027
6,서울특별시 강남구 수서동,351264378.44829
7,서울특별시 강남구 신사동,422836276.4550265
8,서울특별시 강남구 압구정동,1410324323.8340561
9,서울특별시 강남구 역삼동,436145963.5710941
10,서울특별시 강남구 율현동,326950000.0
11,서울특별시 강남구 일원동,519459647.4921284
12,서울특별시 강남구 자곡동,480787916.6266449
13,서울특별시 강남구 청담동,831639140.873936
14,서울특별시 강남구 포이동,137019550.7487521
15,서울특별시 강동구 강일동,304219291.98379266
16,서울특별시 강동구 고덕동,452751168.4263841
17,서울특별시 강동구 길동,222884048.32102692
18,서울특별시 강동구 둔촌동,423216834.1297375
19,서울특별시 강동구 명일동,403185592.648183
20,서울특별시 강동구 상일동,434884243.39471585
21,서울특별시 강동구 성내동,231865539.49912325
22,서울특별시 강동구 암사동,331231508.59560096
23,서울특별시 강동구 천호동,228938294.17561328
24,서울특별시 강북구 미아동,193242484.26515687
25,서울특별시 강북구 번동,127973932.08185628
26,서울특별시 강북구 수유동,119565871.80135874
27,서울특별시 강북구 우이동,133979415.24239492
28,서울특별시 강서구 가양동,184782990.97010958
29,서울특별시 강서구 개화동,93157407.4074074
30,서울특별시 강서구 공항동,143603206.02448058
31,서울특별시 강서구 내발산동,271056716.38764113
32,서울특별시 강서구 등촌동,212904822.3651231
33,서울특별시 강서구 마곡동,465003427.9172092
34,서울특별시 강서구 방화동,197453250.70647782
35,서울특별시 강서구 염창동,296609878.1116416
36,서울특별시 강서구 외발산동,89361086.08015177
37,서울특별시 강서구 화곡동,161873858.13375214
38,서울특별시 관악구 남현동,238123120.14063832
39,서울특별시 관악구 봉천동,222420201.87871173
40,서울특별시 관악구 신림동,173338361.75984037
41,서울특별시 광진구 광장동,511635189.2391045
42,서울특별시 광진구 구의동,272683634.246269
43,서울특별시 광진구 군자동,192872822.55088428
44,서울특별시 광진구 노유동,320119332.5467723
45,서울특별시 광진구 능동,153897380.25415444
46,서울특별시 광진구 모진동,146756666.66666666
47,서울특별시 광진구 자양동,360198570.83197993
48,서울특별시 광진구 중곡동,144498197.43346483
49,서울특별시 광진구 화양동,143926751.82046083
50,서울특별시 구로구 가리봉동,152847315.86206895
51,서울특별시 구로구 개봉동,201355208.57843
52,서울특별시 구로구 고척동,220079090.00639448
53,서울특별시 구로구 구로동,205071770.153109
54,서울특별시 구로구 궁동,122982493.86020385
55,서울특별시 구로구 신도림동,386756813.278929
56,서울특별시 구로구 오류동,175168625.05643082
57,서울특별시 구로구 온수동,195120235.4528441
58,서울특별시 구로구 천왕동,272343413.44479275
59,서울특별시 구로구 항동,260148543.3818873
60,서울특별시 금천구 가산동,181530240.8129176
61,서울특별시 금천구 독산동,173481803.02679962
62,서울특별시 금천구 시흥동,181019843.07866785
63,서울특별시 노원구 공릉동,195053102.0222112
64,서울특별시 노원구 상계동,192043051.8363519
65,서울특별시 노원구 월계동,183894656.1600432
66,서울특별시 노원구 중계동,219403012.42132488
67,서울특별시 노원구 하계동,225205701.98522532
68,서울특별시 도봉구 도봉동,159593671.41059768
69,서울특별시 도봉구 방학동,181740088.0315717
70,서울특별시 도봉구 쌍문동,146353643.44819596
71,서울특별시 도봉구 창동,212123434.0997876
72,서울특별시 동대문구 답십리동,282987421.60050887
73,서울특별시 동대문구 신설동,160467749.93798065
74,서울특별시 동대문구 용두동,259257769.47122937
75,서울특별시 동대문구 이문동,235295804.2944612
76,서울특별시 동대문구 장안동,247327181.82966363
77,서울특별시 동대문구 전농동,279792286.025374
78,서울특별시 동대문구 제기동,217516193.11813492
79,서울특별시 동대문구 청량리동,266726071.8641524
80,서울특별시 동대문구 회기동,188731919.32976988
81,서울특별시 동대문구 휘경동,228391510.99671245
82,서울특별시 동작구 노량진동,296156495.0484215
83,서울특별시 동작구 대방동,308331798.3731486
84,서울특별시 동작구 동작동,369939328.00535583
85,서울특별시 동작구 본동,373848300.0042821
86,서울특별시 동작구 사당동,286986000.5220663
87,서울특별시 동작구 상도1동,140021725.8481886
88,서울특별시 동작구 상도동,273655770.94212484
89,서울특별시 동작구 신대방동,331650683.9834984
90,서울특별시 동작구 흑석동,430584282.742992
91,서울특별시 마포구 공덕동,419023582.8851554
92,서울특별시 마포구 구수동,164294971.32774588
93,서울특별시 마포구 노고산동,140695392.16501704
94,서울특별시 마포구 당인동,162845025.4430602
95,서울특별시 마포구 대흥동,399356963.4435499
96,서울특별시 마포구 도화동,396055059.4670229
97,서울특별시 마포구 동교동,131241265.9312413
98,서울특별시 마포구 마포동,289867275.0681612
99,서울특별시 마포구 망원동,181224173.8773886
100,서울특별시 마포구 상수동,362164153.29006183
101,서울특별시 마포구 상암동,358812534.35024136
