addr,약국,병원
경기도 가평군 가평읍 대곡리,1개,3개
경기도 가평군 가평읍 읍내리,10개,23개
경기도 가평군 북면 목동리,1개,1개
경기도 가평군 상면 임초리,1개,1개
경기도 가평군 설악면 미사리,1개,1개
경기도 가평군 설악면 송산리,1개,1개
경기도 가평군 설악면 신천리,4개,8개
경기도 가평군 조종면 현리,3개,13개
경기도 가평군 청평면 상천리,1개,2개
경기도 가평군 청평면 청평리,4개,13개
경기도 고양시 덕양구 고양동,11개,27개
경기도 고양시 덕양구 관산동,8개,17개
경기도 고양시 덕양구 내유동,5개,6개
경기도 고양시 덕양구 대장동,1개,0개
경기도 고양시 덕양구 도내동,8개,19개
경기도 고양시 덕양구 동산동,7개,8개
경기도 고양시 덕양구 삼송동,10개,28개
경기도 고양시 덕양구 성사동,13개,50개
경기도 고양시 덕양구 신원동,8개,21개
경기도 고양시 덕양구 원흥동,4개,13개
경기도 고양시 덕양구 주교동,7개,17개
경기도 고양시 덕양구 토당동,15개,25개
경기도 고양시 덕양구 행신동,44개,114개
경기도 고양시 덕양구 향동동,6개,19개
경기도 고양시 덕양구 화전동,1개,1개
경기도 고양시 덕양구 화정동,43개,123개
경기도 고양시 일산동구 마두동,27개,76개
경기도 고양시 일산동구 백석동,28개,48개
경기도 고양시 일산동구 사리현동,1개,2개
경기도 고양시 일산동구 설문동,1개,1개
경기도 고양시 일산동구 식사동,13개,22개
경기도 고양시 일산동구 장항동,33개,108개
경기도 고양시 일산동구 정발산동,6개,20개
경기도 고양시 일산동구 중산동,14개,30개
경기도 고양시 일산동구 풍동,9개,33개
경기도 고양시 일산서구 가좌동,2개,8개
경기도 고양시 일산서구 대화동,38개,68개
경기도 고양시 일산서구 덕이동,6개,13개
경기도 고양시 일산서구 일산동,27개,85개
경기도 고양시 일산서구 주엽동,34개,143개
경기도 고양시 일산서구 탄현동,18개,55개
경기도 과천시 문원동,1개,1개
경기도 과천시 별양동,11개,41개
경기도 과천시 부림동,2개,5개
경기도 과천시 원문동,4개,11개
경기도 과천시 중앙동,3개,13개
경기도 광명시 광명동,38개,122개
경기도 광명시 소하동,19개,71개
경기도 광명시 일직동,8개,18개
경기도 광명시 철산동,30개,117개
경기도 광명시 하안동,26개,85개
경기도 광주시 경안동,18개,60개
경기도 광주시 곤지암읍 곤지암리,7개,20개
경기도 광주시 곤지암읍 만선리,1개,1개
경기도 광주시 곤지암읍 삼리,3개,7개
경기도 광주시 남한산성면 광지원리,1개,0개
경기도 광주시 도척면 노곡리,1개,2개
경기도 광주시 도척면 진우리,1개,2개
경기도 광주시 목현동,1개,0개
경기도 광주시 삼동,2개,2개
경기도 광주시 송정동,2개,5개
경기도 광주시 쌍령동,2개,6개
경기도 광주시 역동,7개,29개
경기도 광주시 오포읍 고산리,2개,1개
경기도 광주시 오포읍 능평리,6개,15개
경기도 광주시 오포읍 매산리,1개,1개
경기도 광주시 오포읍 문형리,1개,4개
경기도 광주시 오포읍 신현리,11개,23개
경기도 광주시 오포읍 양벌리,6개,21개
경기도 광주시 오포읍 추자리,1개,3개
경기도 광주시 장지동,2개,7개
경기도 광주시 중대동,2개,5개
경기도 광주시 초월읍 대쌍령리,2개,5개
경기도 광주시 초월읍 도평리,1개,3개
경기도 광주시 초월읍 산이리,4개,8개
경기도 광주시 초월읍 신월리,1개,0개
경기도 광주시 초월읍 쌍동리,1개,5개
경기도 광주시 초월읍 용수리,1개,0개
경기도 광주시 탄벌동,4개,8개
경기도 광주시 태전동,11개,30개
경기도 광주시 퇴촌면 관음리,1개,1개
경기도 광주시 퇴촌면 광동리,5개,9개
경기도 광주시 회덕동,2개,3개
경기도 구리시 갈매동,8개,33개
경기도 구리시 교문동,12개,25개
경기도 구리시 수택동,43개,133개
경기도 구리시 인창동,31개,119개
경기도 구리시 토평동,3개,10개
경기도 군포시 금정동,12개,24개
경기도 군포시 당동,24개,51개
경기도 군포시 당정동,3개,14개
경기도 군포시 대야미동,1개,4개
경기도 군포시 도마교동,2개,6개
경기도 군포시 부곡동,6개,12개
경기도 군포시 산본동,59개,197개
경기도 김포시 감정동,9개,22개
경기도 김포시 걸포동,6개,15개
경기도 김포시 고촌읍 신곡리,12개,30개
경기도 김포시 구래동,21개,75개
경기도 김포시 대곶면 율생리,3개,9개
경기도 김포시 마산동,5개,12개
경기도 김포시 북변동,12개,22개
경기도 김포시 사우동,13개,49개
경기도 김포시 양촌읍 구래리,1개,1개
경기도 김포시 양촌읍 양곡리,7개,17개
경기도 김포시 양촌읍 학운리,1개,5개
경기도 김포시 운양동,11개,29개
경기도 김포시 월곶면 군하리,2개,3개
경기도 김포시 월곶면 포내리,1개,0개
경기도 김포시 장기동,22개,101개
경기도 김포시 통진읍 마송리,8개,21개
경기도 김포시 통진읍 서암리,4개,6개
경기도 김포시 풍무동,18개,66개
경기도 김포시 하성면 마곡리,3개,7개
경기도 남양주시 금곡동,13개,21개
경기도 남양주시 다산동,39개,126개
경기도 남양주시 별내동,21개,68개
경기도 남양주시 별내면 청학리,4개,18개
경기도 남양주시 수동면 운수리,1개,5개
경기도 남양주시 수동면 입석리,1개,2개
경기도 남양주시 오남읍 양지리,8개,19개
경기도 남양주시 오남읍 오남리,12개,22개
경기도 남양주시 와부읍 덕소리,15개,56개
경기도 남양주시 와부읍 도곡리,6개,16개
경기도 남양주시 진건읍 용정리,10개,16개
경기도 남양주시 진접읍 금곡리,13개,39개
경기도 남양주시 진접읍 내각리,4개,4개
경기도 남양주시 진접읍 부평리,2개,2개
경기도 남양주시 진접읍 연평리,1개,0개
경기도 남양주시 진접읍 장현리,20개,40개
경기도 남양주시 진접읍 팔야리,3개,4개
경기도 남양주시 퇴계원읍 퇴계원리,13개,34개
