addr,초등학교,중학교,고등학교
서울특별시 강남구 개포동,5개,2개,4개
서울특별시 강남구 논현동,2개,1개,0개
서울특별시 강남구 대치동,4개,4개,3개
서울특별시 강남구 도곡동,2개,4개,3개
서울특별시 강남구 삼성동,2개,2개,1개
서울특별시 강남구 세곡동,2개,0개,0개
서울특별시 강남구 수서동,2개,2개,2개
서울특별시 강남구 신사동,1개,1개,0개
서울특별시 강남구 압구정동,1개,2개,3개
서울특별시 강남구 역삼동,2개,2개,1개
서울특별시 강남구 일원동,4개,1개,3개
서울특별시 강남구 자곡동,2개,1개,1개
서울특별시 강남구 청담동,2개,1개,1개
서울특별시 강동구 강일동,3개,3개,1개
서울특별시 강동구 고덕동,4개,3개,3개
서울특별시 강동구 길동,3개,1개,0개
서울특별시 강동구 둔촌동,2개,3개,2개
서울특별시 강동구 명일동,3개,0개,1개
서울특별시 강동구 상일동,4개,2개,5개
서울특별시 강동구 성내동,2개,1개,0개
서울특별시 강동구 암사동,3개,2개,1개
서울특별시 강동구 천호동,3개,4개,1개
서울특별시 강북구 미아동,7개,6개,6개
서울특별시 강북구 번동,3개,2개,0개
서울특별시 강북구 수유동,4개,4개,1개
서울특별시 강서구 가양동,3개,2개,3개
서울특별시 강서구 공항동,1개,2개,0개
서울특별시 강서구 내발산동,3개,4개,8개
서울특별시 강서구 등촌동,8개,5개,6개
서울특별시 강서구 마곡동,4개,2개,2개
서울특별시 강서구 방화동,5개,3개,2개
서울특별시 강서구 염창동,3개,2개,0개
서울특별시 강서구 화곡동,8개,2개,2개
서울특별시 관악구 남현동,1개,0개,0개
서울특별시 관악구 봉천동,10개,7개,9개
서울특별시 관악구 신림동,11개,9개,8개
서울특별시 광진구 광장동,3개,3개,1개
서울특별시 광진구 구의동,3개,1개,1개
서울특별시 광진구 군자동,2개,0개,0개
서울특별시 광진구 능동,1개,0개,1개
서울특별시 광진구 자양동,7개,4개,2개
서울특별시 광진구 중곡동,4개,2개,3개
