address,초등학교,중학교,고등학교,학원,유치원 및 어린이집,병의원 및 약국,보건소,응급의료기관시설,백화점,대형마트,복합쇼핑센터,시장,헬스장,수영장,체육관,공원,영화관,카페,도서관,놀이터,경로당,사회복지관,등산로,산책로,미세먼지,범죄안전등급,경찰관서,여성안심지킴이집
서울특별시 강남구 개포동,최상,중,최상,최상,상,최상,0,0,0,0,0,0,상,0,상,최상,0,최상,상,최상,최상,상,최상,0,최상,중,중,최상
서울특별시 강남구 논현동,중,하,0,최상,상,최상,0,0,0,0,0,0,최상,0,0,최상,최상,최상,상,중,최상,0,0,0,최상,중,상,최상
서울특별시 강남구 대치동,최상,최상,최상,최상,상,최상,0,0,상,0,0,0,최상,최상,0,최상,0,최상,최상,상,최상,0,0,0,최상,중,상,최상
서울특별시 강남구 도곡동,중,최상,최상,최상,상,최상,0,중,0,0,0,0,최상,0,0,최상,중,최상,상,중,최상,0,0,0,최상,중,0,상
서울특별시 강남구 삼성동,중,중,중,최상,중,최상,상,0,상,0,최상,0,최상,0,0,상,최상,최상,상,하,최상,0,0,0,최상,중,상,최상
서울특별시 강남구 세곡동,중,0,0,상,상,상,0,0,0,0,0,0,0,0,0,최상,0,상,중,상,최상,0,하,0,최상,중,중,0
서울특별시 강남구 수서동,중,중,상,상,상,상,0,0,0,0,0,0,중,0,중,상,0,최상,중,상,최상,최상,중,0,최상,중,중,0
서울특별시 강남구 신사동,하,하,0,최상,중,최상,0,0,0,0,중,0,최상,최상,0,하,최상,최상,중,상,상,0,0,0,최상,중,중,상
서울특별시 강남구 압구정동,하,중,최상,상,중,상,0,0,최상,0,0,0,0,중,0,상,0,최상,중,중,최상,0,0,0,최상,중,중,0
서울특별시 강남구 역삼동,중,중,중,최상,중,최상,0,중,0,중,0,0,최상,0,0,최상,최상,최상,최상,상,최상,0,0,0,최상,중,중,최상
서울특별시 강남구 율현동,0,0,0,하,0,중,0,0,0,0,0,0,0,0,0,하,0,중,중,하,상,0,0,0,최상,중,0,0
서울특별시 강남구 일원동,최상,하,최상,최상,상,최상,0,중,0,0,0,0,하,중,0,상,0,최상,최상,상,최상,중,최상,0,최상,중,중,하
서울특별시 강남구 자곡동,중,하,중,상,상,중,0,0,0,0,0,0,0,중,0,최상,0,상,상,중,최상,0,상,0,최상,중,0,하
서울특별시 강남구 청담동,중,하,중,최상,상,최상,0,0,상,0,0,0,최상,0,0,하,0,최상,상,중,최상,0,0,0,최상,중,중,상
서울특별시 강동구 강일동,상,상,중,최상,상,상,상,0,0,0,0,0,중,중,0,상,0,중,중,상,최상,0,0,0,상,상,중,하
서울특별시 강동구 고덕동,최상,상,최상,최상,상,최상,0,0,0,0,0,0,하,0,0,최상,0,최상,중,상,최상,0,0,0,상,상,중,중
서울특별시 강동구 길동,상,하,0,최상,최상,최상,0,중,0,0,0,0,중,0,0,0,0,최상,중,상,최상,0,0,0,상,상,0,최상
서울특별시 강동구 둔촌동,중,상,상,최상,상,상,0,중,0,0,0,0,하,0,0,하,0,최상,중,하,최상,0,0,0,상,상,상,하
서울특별시 강동구 명일동,상,0,중,최상,최상,최상,0,0,0,상,0,0,중,중,0,중,0,최상,0,최상,최상,0,0,0,상,상,중,상
서울특별시 강동구 상일동,최상,중,최상,상,최상,상,0,중,0,0,0,0,하,상,0,상,0,최상,0,상,최상,0,0,0,상,상,중,하
서울특별시 강동구 성내동,중,하,0,최상,상,최상,상,0,0,0,0,0,상,중,0,하,최상,최상,중,상,최상,중,0,0,상,상,중,최상
서울특별시 강동구 암사동,상,중,중,최상,상,최상,0,0,0,중,0,중,하,0,0,상,0,최상,중,상,최상,0,0,0,상,상,중,최상
서울특별시 강동구 천호동,상,최상,중,최상,상,최상,0,0,상,상,0,중,최상,0,0,0,중,최상,상,최상,최상,중,0,0,상,상,중,최상
서울특별시 강북구 미아동,최상,최상,최상,최상,최상,최상,0,중,상,최상,상,0,최상,0,0,최상,최상,최상,최상,최상,최상,중,상,중,최상,중,최상,최상
서울특별시 강북구 번동,상,중,0,최상,상,최상,상,중,0,0,0,상,하,0,0,중,중,최상,중,상,최상,최상,0,0,최상,중,상,상
서울특별시 강북구 수유동,최상,최상,중,최상,최상,최상,0,중,0,중,중,상,최상,0,0,하,최상,최상,중,최상,최상,0,최상,상,최상,중,최상,최상
서울특별시 강북구 우이동,0,0,0,중,0,중,0,0,0,0,0,0,0,0,0,하,0,상,0,0,중,0,최상,최상,최상,중,0,0
서울특별시 강서구 가양동,상,중,최상,상,최상,최상,0,0,0,상,0,0,하,중,중,상,0,최상,최상,최상,최상,최상,상,0,상,상,0,중
서울특별시 강서구 개화동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,중,0,0,중,0,상,0,상,상,0,0
서울특별시 강서구 공항동,하,중,0,상,상,상,0,0,0,0,0,0,하,상,0,중,0,최상,중,상,최상,0,0,0,상,상,0,중
서울특별시 강서구 내발산동,상,최상,최상,최상,최상,최상,0,중,0,0,0,0,최상,상,0,중,0,최상,최상,상,최상,0,최상,0,상,상,중,하
서울특별시 강서구 등촌동,최상,최상,최상,최상,최상,최상,0,중,상,중,0,0,상,중,0,상,상,최상,최상,최상,최상,최상,상,0,상,상,상,상
서울특별시 강서구 마곡동,최상,중,상,최상,상,최상,0,중,0,0,0,0,최상,최상,0,중,중,최상,중,최상,최상,0,하,0,상,상,0,0
서울특별시 강서구 방화동,최상,상,상,최상,최상,최상,0,0,0,0,중,중,중,0,0,상,중,최상,최상,최상,최상,최상,최상,0,상,상,상,상
서울특별시 강서구 염창동,상,중,0,최상,중,최상,상,0,0,0,0,0,하,중,0,하,0,최상,최상,중,최상,0,중,0,상,상,중,0
서울특별시 강서구 외발산동,0,0,0,하,0,0,0,0,0,0,0,0,0,0,0,0,0,하,0,중,중,0,0,0,상,상,0,0
서울특별시 강서구 화곡동,최상,중,상,최상,최상,최상,0,0,0,0,0,중,최상,상,0,상,중,최상,최상,최상,최상,0,최상,0,상,상,최상,최상
서울특별시 관악구 남현동,하,0,0,상,상,상,0,0,0,중,0,0,0,0,0,하,0,최상,중,상,상,0,상,중,최상,중,중,중
서울특별시 관악구 봉천동,최상,최상,최상,최상,최상,최상,최상,상,상,중,상,중,최상,상,0,최상,중,최상,최상,최상,최상,최상,중,중,최상,중,최상,최상
서울특별시 관악구 신림동,최상,최상,최상,최상,최상,최상,0,상,0,0,상,최상,최상,상,0,최상,중,최상,최상,최상,최상,상,최상,최상,최상,중,최상,최상
서울특별시 광진구 광장동,상,상,중,최상,최상,상,0,0,0,0,0,0,상,중,0,0,0,최상,최상,중,최상,중,최상,0,최상,중,중,하
서울특별시 광진구 구의동,상,하,중,최상,최상,최상,0,0,0,중,0,0,최상,최상,0,하,중,최상,최상,최상,최상,0,상,0,최상,중,중,하
서울특별시 광진구 군자동,중,0,0,상,상,상,0,0,0,0,0,0,최상,0,0,하,중,최상,상,하,상,0,0,0,최상,중,0,하
서울특별시 광진구 능동,하,0,중,중,상,상,0,0,0,0,0,0,0,상,0,하,0,최상,중,0,하,0,0,0,최상,중,0,0
서울특별시 광진구 자양동,최상,최상,상,최상,최상,최상,최상,중,상,중,0,0,최상,상,0,중,최상,최상,최상,최상,최상,중,0,0,최상,중,최상,상
서울특별시 광진구 중곡동,최상,중,최상,최상,상,최상,상,0,0,0,0,0,최상,0,0,0,0,최상,최상,상,최상,중,최상,0,최상,중,최상,상
서울특별시 광진구 화양동,중,중,중,상,중,최상,0,중,0,0,중,0,상,0,0,0,중,최상,상,상,중,0,0,0,최상,중,중,상
서울특별시 구로구 가리봉동,하,0,0,중,0,중,0,0,0,0,0,0,0,0,0,0,0,상,0,0,상,0,0,0,상,중,중,하
서울특별시 구로구 개봉동,최상,상,0,최상,최상,최상,0,0,0,0,0,0,하,상,0,상,중,최상,최상,상,최상,0,0,0,상,중,중,상
서울특별시 구로구 고척동,최상,중,상,최상,상,최상,0,중,0,0,중,중,하,0,0,상,0,최상,중,상,최상,0,0,0,상,중,중,최상
서울특별시 구로구 구로동,최상,최상,최상,최상,최상,최상,최상,중,상,최상,0,0,최상,중,0,중,상,최상,최상,최상,최상,상,0,0,상,중,최상,최상
서울특별시 구로구 궁동,0,0,0,상,0,중,0,0,0,0,0,0,0,0,0,0,0,상,중,중,중,중,0,0,상,중,0,0
서울특별시 구로구 신도림동,중,하,중,최상,상,최상,0,0,상,중,0,0,0,0,0,하,중,최상,상,중,최상,0,0,0,상,중,0,최상
서울특별시 구로구 오류동,상,하,중,최상,최상,최상,상,0,0,0,중,0,최상,0,0,중,0,최상,중,0,최상,0,0,0,상,중,중,상
서울특별시 구로구 온수동,하,0,0,중,중,중,0,0,0,0,0,0,0,0,0,중,0,상,0,하,최상,0,0,0,상,중,0,0
서울특별시 구로구 천왕동,중,하,0,상,상,상,0,0,0,0,0,0,하,0,0,최상,0,상,0,중,최상,0,0,0,상,중,중,0
서울특별시 구로구 항동,하,하,중,상,중,중,0,0,0,0,0,0,0,0,0,하,0,상,0,0,최상,0,0,0,상,중,0,0
서울특별시 금천구 가산동,0,0,0,상,하,최상,0,0,0,0,최상,0,중,0,0,0,중,최상,최상,중,최상,중,0,0,최상,중,중,중
서울특별시 금천구 독산동,최상,최상,중,최상,최상,최상,0,0,0,최상,상,0,최상,중,0,최상,중,최상,최상,최상,최상,0,상,0,최상,중,상,상
서울특별시 금천구 시흥동,최상,최상,최상,최상,최상,최상,상,중,0,중,0,0,하,0,0,최상,0,최상,최상,최상,최상,중,최상,0,최상,중,상,중
서울특별시 노원구 공릉동,최상,상,상,최상,최상,최상,상,중,0,0,0,0,최상,0,0,0,0,최상,최상,0,최상,중,하,0,상,상,중,최상
서울특별시 노원구 상계동,최상,최상,최상,최상,최상,최상,최상,중,상,0,중,0,최상,중,0,0,최상,최상,최상,0,최상,상,최상,0,상,상,최상,최상
서울특별시 노원구 월계동,최상,최상,최상,최상,최상,최상,상,0,0,0,중,0,상,중,0,0,0,최상,최상,0,최상,상,하,0,상,상,중,최상
서울특별시 노원구 중계동,최상,최상,최상,최상,최상,최상,0,0,상,상,0,0,최상,상,0,0,상,최상,최상,0,최상,최상,중,0,상,상,상,상
서울특별시 노원구 하계동,상,상,최상,최상,최상,상,0,중,0,0,0,0,하,상,0,0,0,최상,상,0,최상,중,0,0,상,상,0,상
서울특별시 도봉구 도봉동,상,중,상,상,상,상,0,0,0,0,0,0,하,0,0,최상,0,최상,최상,상,최상,중,최상,최상,최상,최상,상,중
서울특별시 도봉구 방학동,최상,상,중,최상,최상,최상,0,0,0,중,0,0,최상,중,중,최상,0,최상,최상,최상,최상,중,최상,상,최상,최상,상,상
서울특별시 도봉구 쌍문동,최상,최상,최상,최상,최상,최상,상,중,0,0,0,0,최상,0,0,최상,0,최상,최상,상,최상,0,상,중,최상,최상,상,최상
서울특별시 도봉구 창동,최상,상,최상,최상,최상,최상,상,0,0,중,0,중,최상,상,0,최상,상,최상,최상,최상,최상,중,상,0,최상,최상,상,최상
서울특별시 동대문구 답십리동,상,하,0,최상,상,최상,0,0,0,0,0,0,0,0,중,상,0,최상,0,상,최상,0,최상,0,최상,중,중,상
서울특별시 동대문구 신설동,0,0,0,중,0,상,0,0,0,0,0,0,0,0,0,0,0,상,중,하,0,0,0,0,최상,중,0,상
서울특별시 동대문구 용두동,하,0,0,상,중,최상,상,중,0,중,0,0,하,0,0,중,0,최상,0,중,최상,0,0,0,최상,중,중,최상
서울특별시 동대문구 이문동,하,하,중,최상,상,최상,0,0,0,0,중,0,상,0,0,0,0,최상,0,하,최상,0,상,0,최상,중,중,상
서울특별시 동대문구 장안동,최상,중,중,최상,최상,최상,0,0,0,중,0,0,최상,상,중,상,상,최상,0,최상,최상,중,0,0,최상,중,상,최상
서울특별시 동대문구 전농동,최상,상,상,최상,상,최상,0,0,상,중,0,0,중,중,0,중,중,최상,0,중,최상,0,최상,0,최상,중,상,중
서울특별시 동대문구 제기동,중,중,중,상,상,최상,0,0,0,0,0,0,최상,중,0,하,0,최상,0,하,상,중,하,0,최상,중,중,상
서울특별시 동대문구 청량리동,하,하,중,상,중,최상,0,중,0,0,0,0,0,0,0,중,0,상,0,0,최상,0,상,0,최상,중,중,0
서울특별시 동대문구 회기동,상,하,중,중,상,상,0,중,0,0,0,0,0,0,0,하,0,최상,0,0,하,0,0,0,최상,중,중,중
