,address,공시가격,좌표,초등학교,중학교,고등학교,학원,유치원 및 어린이집,병의원 및 약국,보건소,응급의료기관시설,백화점,대형마트,복합쇼핑센터,시장,헬스장,수영장,체육관,공원,영화관,카페,도서관,놀이터,경로당,사회복지관,등산로,산책로,미세먼지,범죄안전등급,경찰관서,여성안심지킴이집
0,서울특별시 강남구 개포동,1339497589.0,"37.478260,127.052024",5,2,4,178,8,119,0,0,0,0,0,0,3,0,2,8,0,78,2,9,24,2,46,0,32,4,1,11
1,서울특별시 강남구 논현동,1211834590.0,"37.513093,127.031353",2,1,0,174,6,531,0,0,0,0,0,0,8,0,0,6,13,330,2,3,10,0,0,0,32,4,2,17
2,서울특별시 강남구 대치동,1701007762.0,"37.501711,127.057851",4,4,3,1558,8,345,0,0,1,0,0,0,9,3,0,7,0,291,4,7,30,0,0,0,32,4,2,20
3,서울특별시 강남구 도곡동,1877546286.0,"37.486509,127.040738",2,4,3,164,6,160,0,1,0,0,0,0,4,0,0,9,1,131,2,2,19,0,0,0,32,4,0,4
4,서울특별시 강남구 삼성동,1414659119.0,"37.512792,127.053085",2,2,1,139,2,202,1,0,1,0,4,0,6,0,0,3,3,309,2,1,25,0,0,0,32,4,2,12
5,서울특별시 강남구 세곡동,1271705314.0,"37.466494,127.103021",2,0,0,40,8,21,0,0,0,0,0,0,0,0,0,5,0,19,1,7,10,0,3,0,32,4,1,0
6,서울특별시 강남구 수서동,1054632436.0,"37.485767,127.098137",2,2,2,28,7,55,0,0,0,0,0,0,2,0,1,4,0,46,1,7,9,3,18,0,32,4,1,0
7,서울특별시 강남구 신사동,1761464460.0,"37.522893,127.028589",1,1,0,461,2,734,0,0,0,0,1,0,5,4,0,1,5,349,1,4,6,0,0,0,32,4,1,5
8,서울특별시 강남구 압구정동,2987880196.0,"37.528752,127.031766",1,2,3,41,2,18,0,0,3,0,0,0,0,1,0,3,0,26,1,3,8,0,0,0,32,4,1,0
9,서울특별시 강남구 역삼동,819200531.3,"37.500335,127.037596",2,2,1,408,2,658,0,1,0,1,0,0,25,0,0,11,8,594,3,5,26,0,0,0,32,4,1,44
10,서울특별시 강남구 율현동,915230769.2,"37.471450,127.107251",0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,1,0,7,1,1,4,0,0,0,32,4,0,0
11,서울특별시 강남구 일원동,1535207169.0,"37.491326,127.083799",4,1,3,98,6,75,0,1,0,0,0,0,1,1,0,3,0,35,3,4,20,1,48,0,32,4,1,1
12,서울특별시 강남구 자곡동,762612060.3,"37.476796,127.100387",2,1,1,37,4,15,0,0,0,0,0,0,0,1,0,7,0,18,2,2,11,0,23,0,32,4,0,1
13,서울특별시 강남구 청담동,1659374615.0,"37.523404,127.046858",2,1,1,128,5,269,0,0,1,0,0,0,6,0,0,1,0,152,2,3,16,0,0,0,32,4,1,5
14,서울특별시 강동구 강일동,703009947.6,"37.569204,127.171620",3,3,1,68,6,41,1,0,0,0,0,0,2,1,0,3,0,8,1,4,14,0,0,0,37,2,1,1
15,서울특별시 강동구 고덕동,1085453237.0,"37.561068,127.160582",4,3,3,101,6,60,0,0,0,0,0,0,1,0,0,7,0,39,1,5,13,0,0,0,37,2,1,2
16,서울특별시 강동구 길동,440208133.4,"37.539123,127.143163",3,1,0,96,9,143,0,1,0,0,0,0,2,0,0,0,0,72,1,4,13,0,0,0,37,2,0,11
