address,도서관,(종합)사회복지관
경기도 가평군 가평읍 읍내리,1,0
경기도 가평군 설악면 신천리,1,0
경기도 가평군 조종면 현리,1,0
경기도 가평군 청평면 청평리,1,0
경기도 고양시 덕양구 고양동,3,0
경기도 고양시 덕양구 관산동,1,0
경기도 고양시 덕양구 내유동,1,0
경기도 고양시 덕양구 덕은동,1,0
경기도 고양시 덕양구 도내동,0,1
경기도 고양시 덕양구 동산동,1,0
경기도 고양시 덕양구 삼송동,2,0
경기도 고양시 덕양구 성사동,1,1
경기도 고양시 덕양구 신원동,1,0
경기도 고양시 덕양구 주교동,1,0
경기도 고양시 덕양구 행신동,4,1
경기도 고양시 덕양구 화전동,1,0
경기도 고양시 덕양구 화정동,2,0
경기도 고양시 일산동구 마두동,3,1
경기도 고양시 일산동구 백석동,1,0
경기도 고양시 일산동구 사리현동,1,0
경기도 고양시 일산동구 식사동,1,0
경기도 고양시 일산동구 장항동,1,0
경기도 고양시 일산동구 중산동,1,0
경기도 고양시 일산동구 풍동,1,0
경기도 고양시 일산서구 가좌동,1,0
경기도 고양시 일산서구 대화동,2,0
경기도 고양시 일산서구 덕이동,1,0
경기도 고양시 일산서구 일산동,2,1
경기도 고양시 일산서구 주엽동,1,2
경기도 고양시 일산서구 탄현동,1,0
경기도 과천시 갈현동,1,0
경기도 과천시 문원동,1,0
경기도 과천시 별양동,0,1
경기도 광명시 광명동,1,1
경기도 광명시 소하2동,1,0
경기도 광명시 소하동,1,0
경기도 광명시 철산동,2,1
경기도 광명시 하안동,1,1
경기도 광주시 경안동,1,0
경기도 광주시 곤지암읍 곤지암리,1,0
경기도 광주시 남한산성면 산성리,1,0
경기도 광주시 도척면 노곡리,1,0
경기도 광주시 오포읍 고산리,1,0
경기도 광주시 오포읍 능평리,1,0
경기도 광주시 오포읍 신현리,1,0
경기도 광주시 오포읍 양벌리,1,0
경기도 광주시 초월읍 대쌍령리,1,0
경기도 광주시 태전동,1,0
경기도 광주시 퇴촌면 광동리,1,0
경기도 구리시 갈매동,1,1
경기도 구리시 교문동,2,0
경기도 구리시 수택동,2,0
경기도 구리시 인창동,2,0
경기도 구리시 토평동,1,1
경기도 군포시 금정동,6,0
경기도 군포시 당동,12,0
경기도 군포시 당정동,3,0
경기도 군포시 도마교동,4,0
경기도 군포시 부곡동,8,0
경기도 군포시 산본동,6,0
경기도 군포시 속달동,1,0
경기도 김포시 고촌읍 신곡리,1,0
경기도 김포시 북변동,1,0
경기도 김포시 사우동,0,1
경기도 김포시 양촌읍 양곡리,1,0
경기도 김포시 장기동,1,0
경기도 김포시 통진읍 서암리,1,0
경기도 김포시 풍무동,1,0
경기도 남양주시 다산동,1,0
경기도 남양주시 별내동,1,0
경기도 남양주시 별내면 청학리,1,0
경기도 남양주시 오남읍 양지리,1,0
경기도 남양주시 와부읍 덕소리,1,1
경기도 남양주시 진건읍 사능리,1,0
경기도 남양주시 진건읍 용정리,0,1
경기도 남양주시 진접읍 금곡리,1,0
경기도 남양주시 진접읍 부평리,0,1
경기도 남양주시 진접읍 장현리,1,0
경기도 남양주시 퇴계원읍 퇴계원리,1,0
경기도 남양주시 평내동,1,0
경기도 남양주시 호평동,1,0
경기도 남양주시 화도읍 마석우리,0,1
경기도 남양주시 화도읍 창현리,1,0
경기도 동두천시 상패동,2,0
경기도 동두천시 생연동,2,0
경기도 동두천시 지행동,1,0
경기도 부천시 고강동,2,1
경기도 부천시 괴안동,1,0
경기도 부천시 대장동,0,1
경기도 부천시 도당동,2,0
경기도 부천시 범박동,1,0
경기도 부천시 삼정동,2,1
경기도 부천시 상동,5,1
경기도 부천시 소사동,1,0
경기도 부천시 소사본동,3,1
경기도 부천시 송내동,1,0
경기도 부천시 심곡동,2,0
경기도 부천시 심곡본동,2,1
경기도 부천시 약대동,1,0
경기도 부천시 역곡동,1,0
경기도 부천시 오정동,3,0
경기도 부천시 원미동,1,1
경기도 부천시 작동,1,0
경기도 부천시 중동,7,2
경기도 부천시 춘의동,0,1
경기도 성남시 분당구 구미동,4,0
경기도 성남시 분당구 금곡동,0,2
경기도 성남시 분당구 백현동,2,0
경기도 성남시 분당구 서현동,2,0
경기도 성남시 분당구 수내동,1,0
경기도 성남시 분당구 야탑동,3,1
경기도 성남시 분당구 운중동,1,0
경기도 성남시 분당구 정자동,4,1
경기도 성남시 분당구 판교동,1,1
경기도 성남시 수정구 단대동,1,0
경기도 성남시 수정구 복정동,2,0
경기도 성남시 수정구 산성동,1,1
경기도 성남시 수정구 수진동,2,0
경기도 성남시 수정구 시흥동,1,0
